no,profile_id,profile_name,profile_link,profile_affiliations,profile_email,profile_interests,first_publication_year,total_number_publications,profile_cited_by_count,h_index,i10_index,number_publications_percentile,number_publications_rank,citation_count_percentile,citation_count_rank,hindex_percentile,hindex_rank
1,4wy8o9EAAAAJ,Jude Moutchia,https://scholar.google.com/citations?hl=en&user=4wy8o9EAAAAJ,"Data Scientist, Perelman School of Medicine, University of Pennsylvania",Verified email at pennmedicine.upenn.edu,"c(""Pulmonary diseases"", ""Infectious diseases"", ""Informatics"", ""Data Science"", ""Biostatistics"")",2017,32,240,7,7,98.32,Top 2%,94.96,Top 5%,96.58,Top 3%
2,AOkQTXQAAAAJ,Luke McGuinness,https://scholar.google.com/citations?hl=en&user=AOkQTXQAAAAJ,"Senior Data Scientist / Epidemiologist, Alexion",,"c(""Epidemiology"", ""Evidence Synthesis"", ""Data Science"", ""R"", ""Open Science"")",2017,45,56095,20,26,99.28,Top 0.7%,100,Top 0.01%,99.85,Top 0.2%
3,sXD-7J4AAAAJ,Claire Duvallet,https://scholar.google.com/citations?hl=en&user=sXD-7J4AAAAJ,Biobot Analytics,Verified email at biobot.io,"c(""public health"", ""wastewater epidemiology"", ""human microbiome"", ""personalized medicine"", ""data science"")",2017,44,16245,21,28,99.22,Top 0.8%,99.99,Top 0.01%,99.88,Top 0.1%
4,lMw32RQAAAAJ,Hannes Holste,https://scholar.google.com/citations?hl=en&user=lMw32RQAAAAJ,"Department of Medicine, Computer Science & Engineering, University of California San …",Verified email at ucsd.edu,"c(""microbiome"", ""biotechnology"", ""machine learning"", ""data science"", ""human centered design"")",2017,5,13670,5,5,64.55,Top 35%,99.98,Top 0.01%,92.16,Top 8%
5,rBkH7h0AAAAJ,Hongru Du,https://scholar.google.com/citations?hl=en&user=rBkH7h0AAAAJ,Johns Hopkins University,Verified email at jhu.edu,"c(""Infectious Diseases"", ""Human Behavior"", ""Network Modelling"", ""Data Science"")",2020,8,12175,7,7,78.01,Top 22%,99.98,Top 0.01%,96.58,Top 3%
6,D4HwTiIAAAAJ,Alex Davidson,https://scholar.google.com/citations?hl=en&user=D4HwTiIAAAAJ,Imperial College London,Verified email at nhs.net,"c(""Neurology"", ""Machine Learning"", ""Data Science"")",2020,6,11577,3,3,70.14,Top 30%,99.97,Top 0.01%,81.33,Top 19%
7,G2cwI0AAAAAJ,Michael Zager,https://scholar.google.com/citations?hl=en&user=G2cwI0AAAAAJ,Fred Hutchinson | Brotman Baty Center For Data Visualization,Verified email at zager.co,"c(""Omics"", ""Data Science"", ""Cloud Computing"", ""Data Visualization"")",2017,13,7181,7,6,89.04,Top 11%,99.96,Top 0.01%,96.58,Top 3%
8,AXzBOoUAAAAJ,N. Kulathunga,https://scholar.google.com/citations?hl=en&user=AXzBOoUAAAAJ,Postdoctoral Researcher at Texas Southern University,Verified email at tsu.edu,"c(""Data Science"", ""STAR Collaboration"", ""Experimental Particle Physics"", ""Computational Physics"", ""Machine Learning"")",2017,117,6517,43,80,99.95,Top 0.01%,99.95,Top 0.01%,100,Top 0.01%
9,p6zQTJ8AAAAJ,Shuo Li,https://scholar.google.com/citations?hl=en&user=p6zQTJ8AAAAJ,Boston University,Verified email at bu.edu,"c(""Data Science"", ""Statistics"", ""Biostatistics"", ""Deep Learning"")",2017,29,4930,19,23,97.89,Top 2%,99.95,Top 0.01%,99.84,Top 0.2%
10,DK0tXAIAAAAJ,Alessandro Galeazzi,https://scholar.google.com/citations?hl=en&user=DK0tXAIAAAAJ,"Assistant Professor (RtdA), University of Padova",Verified email at unipd.it,"c(""Data Science"", ""Social Media"", ""Complex Networks"", ""Computational Social Science"")",2017,31,4911,12,13,98.19,Top 2%,99.94,Top 0.1%,99.3,Top 0.7%
11,oUrGNaoAAAAJ,Hassan Ismail Fawaz,https://scholar.google.com/citations?hl=en&user=oUrGNaoAAAAJ,Machine Learning Researcher at Ericsson,Verified email at ericsson.com,"c(""Deep Learning"", ""Machine Learning"", ""Data Science"", ""Data Mining"", ""Time Series"")",2018,19,4872,12,12,94.57,Top 5%,99.93,Top 0.1%,99.3,Top 0.7%
12,RZ4SVncAAAAJ,Viet-Phuong La,https://scholar.google.com/citations?hl=en&user=RZ4SVncAAAAJ,Phenikaa University,Verified email at phenikaa-uni.edu.vn,"c(""computer science"", ""data science"", ""social science"")",2018,159,4802,29,57,99.99,Top 0.01%,99.92,Top 0.1%,99.98,Top 0.01%
13,p3tAmVcAAAAJ,AH Alamoodi,https://scholar.google.com/citations?hl=en&user=p3tAmVcAAAAJ,"Institute of Informatics and Computing in Energy, Universiti Tenaga Nasional",Verified email at uniten.edu.my,"c(""Artificial Intelligence"", ""Data Science"", ""Machine Learning"", ""Predictive Analysis"", ""MCDM"")",2019,93,3886,34,53,99.91,Top 0.1%,99.91,Top 0.1%,99.99,Top 0.01%
14,6ukqVUIAAAAJ,Patrick Johnson,https://scholar.google.com/citations?hl=en&user=6ukqVUIAAAAJ,"Senior Data Science Analyst, Digital Innovation Lab, Mayo Clinic Florida",Verified email at mayo.edu,"c(""Data Science"", ""Computer Science"", ""Cloud Computing"", ""Biostatistics"")",2018,99,3556,22,35,99.92,Top 0.1%,99.91,Top 0.1%,99.9,Top 0.1%
15,6TzrUL8AAAAJ,Ala' M. Al-Zoubi,https://scholar.google.com/citations?hl=en&user=6TzrUL8AAAAJ,University of Granada,Verified email at correo.ugr.es,"c(""Data Science"", ""Cyber Security"", ""Social Network Analysis"", ""Feature Selection"", ""Evolutionary Computation"")",2017,51,3399,26,37,99.45,Top 0.5%,99.9,Top 0.1%,99.95,Top 0.01%
16,pbl30dgAAAAJ,Juan S. Mayorga,https://scholar.google.com/citations?hl=en&user=pbl30dgAAAAJ,Marine Data Scientist - Environmental Markets Solutions Lab at UC Santa Barbara and …,Verified email at ucsb.edu,"c(""Conservation Science"", ""Marine Ecology"", ""Data Science"", ""Fisheries Science & Management"", ""Geospatial Analysis"")",2017,27,3351,16,19,97.5,Top 2%,99.89,Top 0.1%,99.69,Top 0.3%
17,VJeJSyAAAAAJ,Xiao Wu,https://scholar.google.com/citations?hl=en&user=VJeJSyAAAAAJ,Columbia University,Verified email at mail.harvard.edu,"c(""Causal Inference"", ""Biostatistics"", ""Data Science"", ""Machine Learning"", ""Climate and Health"")",2017,46,3212,16,19,99.29,Top 0.7%,99.88,Top 0.1%,99.69,Top 0.3%
18,S8dU8BoAAAAJ,Dana Warmsley,https://scholar.google.com/citations?hl=en&user=S8dU8BoAAAAJ,HRL Laboratories,Verified email at hrl.com,"c(""Applied Mathematics"", ""Data Science"", ""Computational Sociology"", ""Machine Learning"", ""Hate Speech and Abusive Language …"")",2017,17,3188,4,3,93.33,Top 7%,99.88,Top 0.1%,87.94,Top 12%
19,QdGmki8AAAAJ,Lynne Krohn,https://scholar.google.com/citations?hl=en&user=QdGmki8AAAAJ,McGill University,Verified email at mail.mcgill.ca,"c(""Genomics"", ""Neuroscience"", ""Data Science"")",2018,74,3093,24,34,99.85,Top 0.2%,99.87,Top 0.1%,99.93,Top 0.1%
20,Q1LOeA0AAAAJ,"Fabian Kern, Ph.D.",https://scholar.google.com/citations?hl=en&user=Q1LOeA0AAAAJ,Helmholtz Institute for Pharmaceutical Research Saarland,Verified email at helmholtz-hips.de,"c(""Bioinformatics"", ""Machine Learning"", ""Data Science"", ""Neuroscience"", ""Infection"")",2017,50,2922,24,34,99.42,Top 0.6%,99.86,Top 0.1%,99.93,Top 0.1%
21,B_dGtHQAAAAJ,Furqan Rustam,https://scholar.google.com/citations?hl=en&user=B_dGtHQAAAAJ,School of Computer Science,Verified email at umt.edu.pk,"c(""Data Science"", ""Artificial Intelligence"", ""Machine Learning"", ""Data Mining"", ""Bioinformatics"")",2019,116,2873,26,56,99.94,Top 0.1%,99.85,Top 0.2%,99.95,Top 0.01%
22,atVAWRMAAAAJ,Neal G. Ravindra,https://scholar.google.com/citations?hl=en&user=atVAWRMAAAAJ,Independent ML Researcher in Industry,Verified email at newlimit.com,"c(""deep learning"", ""data science"", ""computational biology"", ""explainable AI"")",2018,67,2798,20,27,99.73,Top 0.3%,99.84,Top 0.2%,99.85,Top 0.2%
23,Kz0SLBQAAAAJ,Alexis Fouilloy,https://scholar.google.com/citations?hl=en&user=Kz0SLBQAAAAJ,"Ph.D., University of Corsica",Verified email at univ-corse.fr,"c(""Energie solaire"", ""Intelligence artificielle"", ""Data science"")",2017,30,2766,12,12,98.07,Top 2%,99.84,Top 0.2%,99.3,Top 0.7%
24,OjPORqkAAAAJ,Efren Olguin,https://scholar.google.com/citations?hl=en&user=OjPORqkAAAAJ,"Student, University of Illinois",Verified email at illinois.edu,"c(""Data science"", ""healthcare"")",2017,1,2749,1,1,22.01,Top 78%,99.83,Top 0.2%,51.58,Top 48%
25,GYLvCUMAAAAJ,Diptaparna Biswas,https://scholar.google.com/citations?hl=en&user=GYLvCUMAAAAJ,University of Louisville,Verified email at louisville.edu,"c(""Particle Physics"", ""Quantum Mechanics"", ""Machine Learning"", ""Data Science"", ""Computer Science"")",2019,116,2726,29,45,99.94,Top 0.1%,99.82,Top 0.2%,99.98,Top 0.01%
